"id"	"source_id"	"name"	"value"
"200"	"9"	"Borough"	"3"
"201"	"9"	"Borough"	"3"
"202"	"9"	"Borough"	"3"
"203"	"9"	"Borough"	"3"
"204"	"9"	"Borough"	"3"
"205"	"9"	"Borough"	"3"
"206"	"9"	"Borough"	"3"
"207"	"9"	"Borough"	"3"
"208"	"9"	"Borough"	"3"
"209"	"9"	"Borough"	"3"
"210"	"9"	"Borough"	"3"
"211"	"9"	"Borough"	"3"
"212"	"9"	"Borough"	"3"
"213"	"9"	"Borough"	"3"
"214"	"9"	"Borough"	"3"
"215"	"10"	"Borough"	"3"
"216"	"10"	"Borough"	"3"
"217"	"10"	"Borough"	"3"
"218"	"10"	"Borough"	"3"
"219"	"10"	"Borough"	"3"
"220"	"10"	"Borough"	"3"
"221"	"10"	"Borough"	"3"
"222"	"10"	"Borough"	"3"
"223"	"10"	"Borough"	"3"
"224"	"10"	"Borough"	"3"
"225"	"10"	"Borough"	"3"
"226"	"10"	"Borough"	"3"
"227"	"10"	"Borough"	"3"
"228"	"10"	"Borough"	"3"
"229"	"10"	"Borough"	"3"
"230"	"10"	"Borough"	"3"
"231"	"11"	"Borough"	"3"
"232"	"11"	"Borough"	"3"
"233"	"11"	"Borough"	"3"
"234"	"11"	"Borough"	"3"
"235"	"11"	"Borough"	"3"
"236"	"11"	"Borough"	"3"
"237"	"11"	"Borough"	"3"
"238"	"11"	"Borough"	"3"
"239"	"11"	"Borough"	"3"
"240"	"11"	"Borough"	"3"
"241"	"11"	"Borough"	"3"
"242"	"11"	"Borough"	"3"
"243"	"11"	"Borough"	"3"
"244"	"11"	"Borough"	"3"
"245"	"11"	"Borough"	"3"
"246"	"11"	"Borough"	"3"
"247"	"12"	"Borough"	"3"
"248"	"12"	"Borough"	"3"
"249"	"12"	"Borough"	"3"
"250"	"12"	"Borough"	"3"
"251"	"12"	"Borough"	"3"
"252"	"12"	"Borough"	"3"
"253"	"12"	"Borough"	"3"
"254"	"12"	"Borough"	"3"
"255"	"12"	"Borough"	"3"
"256"	"12"	"Borough"	"3"
"257"	"12"	"Borough"	"3"
"258"	"12"	"Borough"	"3"
"259"	"12"	"Borough"	"3"
"260"	"12"	"Borough"	"3"
"261"	"12"	"Borough"	"3"
"262"	"12"	"Borough"	"3"
"263"	"13"	"Borough"	"3"
"264"	"13"	"Borough"	"3"
"265"	"13"	"Borough"	"3"
"266"	"13"	"Borough"	"3"
"267"	"13"	"Borough"	"3"
"268"	"13"	"Borough"	"3"
"269"	"13"	"Borough"	"3"
"270"	"13"	"Borough"	"3"
"271"	"13"	"Borough"	"3"
"272"	"13"	"Borough"	"3"
"273"	"13"	"Borough"	"3"
"274"	"13"	"Borough"	"3"
"275"	"13"	"Borough"	"3"
"276"	"13"	"Borough"	"3"
"277"	"13"	"Borough"	"3"
"278"	"13"	"Borough"	"3"
"279"	"14"	"Borough"	"3"
"280"	"14"	"Borough"	"3"
"281"	"14"	"Borough"	"3"
"282"	"14"	"Borough"	"3"
"283"	"14"	"Borough"	"3"
"284"	"14"	"Borough"	"3"
"285"	"14"	"Borough"	"3"
"286"	"14"	"Borough"	"3"
"287"	"14"	"Borough"	"3"
"288"	"14"	"Borough"	"3"
"289"	"14"	"Borough"	"3"
"290"	"14"	"Borough"	"3"
"291"	"14"	"Borough"	"3"
"292"	"14"	"Borough"	"3"
"293"	"14"	"Borough"	"3"
"294"	"14"	"Borough"	"3"
"295"	"15"	"Borough"	"3"
"296"	"15"	"Borough"	"3"
"297"	"15"	"Borough"	"3"
"298"	"15"	"Borough"	"3"
"299"	"15"	"Borough"	"3"
"300"	"15"	"Borough"	"3"
"301"	"15"	"Borough"	"3"
"302"	"15"	"Borough"	"3"
"303"	"15"	"Borough"	"3"
"304"	"15"	"Borough"	"3"
"305"	"15"	"Borough"	"3"
"306"	"15"	"Borough"	"3"
"307"	"15"	"Borough"	"3"
"308"	"15"	"Borough"	"3"
"309"	"15"	"Borough"	"3"
"310"	"15"	"Borough"	"3"
"311"	"16"	"Borough"	"3"
"312"	"16"	"Borough"	"3"
"313"	"16"	"Borough"	"3"
"314"	"16"	"Borough"	"3"
"315"	"16"	"Borough"	"3"
"316"	"16"	"Borough"	"3"
"317"	"16"	"Borough"	"3"
"318"	"16"	"Borough"	"3"
"319"	"16"	"Borough"	"3"
"320"	"16"	"Borough"	"3"
"321"	"16"	"Borough"	"3"
"322"	"16"	"Borough"	"3"
"323"	"16"	"Borough"	"3"
"324"	"16"	"Borough"	"3"
"325"	"16"	"Borough"	"3"
"326"	"16"	"Borough"	"3"
"327"	"17"	"Borough"	"3"
"328"	"17"	"Borough"	"3"
"329"	"17"	"Borough"	"3"
"330"	"17"	"Borough"	"3"
"331"	"17"	"Borough"	"3"
"332"	"17"	"Borough"	"3"
"333"	"17"	"Borough"	"3"
"334"	"17"	"Borough"	"3"
"335"	"17"	"Borough"	"3"
"336"	"17"	"Borough"	"3"
"337"	"17"	"Borough"	"3"
"338"	"17"	"Borough"	"3"
"339"	"17"	"Borough"	"3"
"340"	"17"	"Borough"	"3"
"341"	"17"	"Borough"	"3"
"342"	"17"	"Borough"	"3"
"343"	"18"	"Borough"	"3"
"344"	"18"	"Borough"	"3"
"345"	"18"	"Borough"	"3"
"346"	"18"	"Borough"	"3"
"347"	"18"	"Borough"	"3"
